jobType,jobNo,職務名稱,jobNameSnippet,jobRole,jobRo,jobAddrNo,工作地點,詳細地址,工作內容,學歷,period,工作經歷,applyCnt,應徵人數,custNo,公司名稱,coIndustry,產業描述,salaryLow,salaryHigh,待遇,s10,發布日期,appearDateDesc,optionZone,isApply,applyDate,isSave,descSnippet,tags,landmark,網頁連結,jobsource,jobNameRaw,custNameRaw,lon,lat,remoteWorkType,major
2,8916974,Android應用軟體開發工程師 Jr. Android Application Developer,Android應用<em class='b-txt--highlight'>軟體開發工程師</em> Jr. Android Application Developer,1,1,6001002015,新北市中和區,連城路192號9樓(235),"The Junior Engineer will perform routine, entry-level engineering tasks under the direct supervision of a senior engineer. 

-Familiar with Java or Kotlin
-Familiar with Android  Basis
-Familiar with Git 
-Experience with Android Architecture Component(e.g. Retrofit2, Coroutines, DI, Room)",大學,03,2年,00005,0~5人應徵,23553019000,ViewSonic Corporation_優派國際股份有限公司,1001001001,電腦系統整合服務業,0000000,0000000,待遇面議,10,20220921,9/21,4104,0,,0,"The Junior Engineer will perform routine, entry-level engineering tasks under the direct supervision of a senior engineer. 

-Familiar with Java or Kotlin
-Familiar with Android  Basis
-Familiar with Git 
-Experience with Android Architecture Component(e.g. Retrofit2, Coroutines, DI, Room)","['外商公司', '員工1300人']",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/5b4dq?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/5b4dq?jobsource=jolist_c_relevance', 'cust': '//www.104.com.tw/company/atiuxrs?jobsource=jolist_c_relevance'}",jolist_c_relevance,Android應用軟體開發工程師 Jr. Android Application Developer,ViewSonic Corporation_優派國際股份有限公司,121.4922862,24.9968387,0,[]
0,8895875,軟體工程師,<em class='b-txt--highlight'>軟體工程師</em>,1,1,6001002021,新北市新莊區,新北大道三段7號19樓之6,"1. 熟悉崁入式產品開發經驗者
2. 熟悉影像應用與相關經驗者
3. 負責[[[軟體]]]之分析、設計以及程式撰寫
4. 規劃執行[[[軟體]]]架構及模組之設計
5. 控管[[[軟體]]]設計進度
6. 進行[[[軟體]]]之測試與修改",大學,00,不拘,00003,0~5人應徵,130000000090603,勤天科技股份有限公司,1001005003,其他電子零組件相關業,0000000,0000000,待遇面議,10,20220924,9/24,0,0,,0,"1. 熟悉崁入式產品開發經驗者
2. 熟悉影像應用與相關經驗者
3. 負責<em class='b-txt--highlight'>軟體</em>之分析、設計以及程式撰寫
4. 規劃執行<em class='b-txt--highlight'>軟體</em>架構及模組之設計
5. 控管<em class='b-txt--highlight'>軟體</em>設計進度
6. 進行<em class='b-txt--highlight'>軟體</em>之測試與修改",[],距捷運新北產業園區站180公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/5ao3n?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/5ao3n?jobsource=jolist_c_relevance', 'cust': '//www.104.com.tw/company/1a2x6bjx7v?jobsource=jolist_c_relevance'}",jolist_c_relevance,軟體工程師,勤天科技股份有限公司,121.458206,25.0602139,0,"['資訊工程相關', '資訊管理相關', '電機電子工程相關']"
2,12339755,61730-工程師/高級工程師,61730-<em class='b-txt--highlight'>工程師</em>/高級<em class='b-txt--highlight'>工程師</em>,1,1,6001002004,新北市汐止區,中興路22號,"本職務主要負責視訊監控伺服器之開發, 正在積極尋找有 Linux C/C++/Python 開發相關經驗的優秀[[[工程師]]], 歡迎對開發視訊監控伺服器有興趣的朋友, 一同加入我們的開發團隊

[工作內容]
1. 視訊監控系統之開發 
2. 影像與AI相",大學,02,1年,00000,0~5人應徵,80682695000,QNAP_威聯通科技股份有限公司,1001001002,電腦軟體服務業,0000000,0000000,待遇面議,10,20220921,9/21,266240,0,,0,"本職務主要負責視訊監控伺服器之開發, 正在積極尋找有 Linux C/C++/Python 開發相關經驗的優秀<em class='b-txt--highlight'>工程師</em>, 歡迎對開發視訊監控伺服器有興趣的朋友, 一同加入我們的開發團隊

[工作內容]
1. 視訊監控系統之開發 
2. 影像與AI相",['員工1300人'],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7chez?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7chez?jobsource=jolist_c_relevance', 'cust': '//www.104.com.tw/company/112ce5w8?jobsource=jolist_c_relevance'}",jolist_c_relevance,61730-工程師/高級工程師,QNAP_威聯通科技股份有限公司,121.6367951,25.0598918,0,"['資訊工程相關', '電機電子工程相關']"
0,11796028,Vue前端網頁工程師,Vue前端網頁<em class='b-txt--highlight'>工程師</em>,1,1,6001002020,新北市三重區,," 透過Scrum專案管理模式與PM合作開發。
3. 與後端[[[工程師]]],UI/UX[[[工程師]]]合作一同開發體驗良好的網頁產品。

MUST-HAVE
1. Javascript / HTML / CSS 基礎。
2. 具備版本控制[[[軟體]]]使用經驗。
3. 熟悉",專科,04,3年,00003,0~5人應徵,130000000138949,雙子數位科技有限公司,1001001002,電腦軟體服務業,0000000,0000000,待遇面議,10,20220926,9/26,0,0,,0," 透過Scrum專案管理模式與PM合作開發。
3. 與後端<em class='b-txt--highlight'>工程師</em>,UI/UX<em class='b-txt--highlight'>工程師</em>合作一同開發體驗良好的網頁產品。

MUST-HAVE
1. Javascript / HTML / CSS 基礎。
2. 具備版本控制<em class='b-txt--highlight'>軟體</em>使用經驗。
3. 熟悉",[],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/70tvg?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/70tvg?jobsource=jolist_c_relevance', 'cust': '//www.104.com.tw/company/1a2x6bkyit?jobsource=jolist_c_relevance'}",jolist_c_relevance,Vue前端網頁工程師,雙子數位科技有限公司,121.4867114,25.0614534,0,[]
2,12693187,系統流程規劃課_軟體工程師(軟體/Oracle ERP Finance)_汐止UTOWN,系統流程規劃課_<em class='b-txt--highlight'>軟體工程師</em>(<em class='b-txt--highlight'>軟體</em>/Oracle ERP Finance)_汐止UTOWN,1,1,6001002004,新北市汐止區,新台五路一段97號37樓,"我們正在招募富有學習熱誠、想要累積多樣化經驗成為國際化人才的您。在這裡您可接觸到橫跨不同部門與職能的相關應用系統的開發 (營銷、財務、生產製造、供應鏈管理、採購…)。您能學習到GARMIN如何用用資訊系統打造一個全球化管理的公司。我們有豐富的培訓課程，協助您讓您的能力不斷提升，並依據您的能力安排合適具挑戰性的任務。只要您有樂觀進取、願意迎接挑戰、願意不斷學習提升自己。我們都竭誠歡迎您成為我們的夥伴。
[您將協助我們]
1.	協助Oracle EBS R12亞洲各點財會相關模組系統(GL/AP/AR/Cost) 問題解決, 流程諮詢和日常維運。
2.	負責客製需求建置開發，監控與管理異常狀況。
3.	參與亞洲各國家Oracle Rollout 專案
4.	與BI team協同合作開發財會相關Data warehouse專案

",大學,03,2年,00002,0~5人應徵,23527104000,GARMIN_台灣國際航電股份有限公司,1001002001,電信相關業,0050000,0070000,"月薪50,000~70,000元",50,20220926,9/26,266248,0,,0,"我們正在招募富有學習熱誠、想要累積多樣化經驗成為國際化人才的您。在這裡您可接觸到橫跨不同部門與職能的相關應用系統的開發 (營銷、財務、生產製造、供應鏈管理、採購…)。您能學習到GARMIN如何用用資訊系統打造一個全球化管理的公司。我們有豐富的培訓課程，協助您讓您的能力不斷提升，並依據您的能力安排合適具挑戰性的任務。只要您有樂觀進取、願意迎接挑戰、願意不斷學習提升自己。我們都竭誠歡迎您成為我們的夥伴。
[您將協助我們]
1.	協助Oracle EBS R12亞洲各點財會相關模組系統(GL/AP/AR/Cost) 問題解決, 流程諮詢和日常維運。
2.	負責客製需求建置開發，監控與管理異常狀況。
3.	參與亞洲各國家Oracle Rollout 專案
4.	與BI team協同合作開發財會相關Data warehouse專案

","['外商公司', '員工9000人']",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7k24j?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7k24j?jobsource=jolist_c_relevance', 'cust': '//www.104.com.tw/company/at3fhmo?jobsource=jolist_c_relevance'}",jolist_c_relevance,系統流程規劃課_軟體工程師(軟體/Oracle ERP Finance)_汐止UTOWN,GARMIN_台灣國際航電股份有限公司,121.6492543,25.0622495,0,"['資訊管理相關', '工業工程相關', '統計學相關']"
0,12050769,PHP 軟體工程師,PHP <em class='b-txt--highlight'>軟體工程師</em>,1,1,6001002020,新北市三重區,,"
※具SVN/Git 或其他版控[[[軟體]]]使用經驗
※對業界流通之資料庫使用熟悉
※須配合公司專案需求至客戶端駐點服務（大台北地區）

工作經驗： 
※1年以上PHP 開發經驗 
※具主導專案開發實務經驗佳
※具大型系統維護相關經驗佳

其他條件： 
※",專科,00,不拘,00000,0~5人應徵,130000000136316,奧米科技有限公司,1001001002,電腦軟體服務業,0000000,0000000,待遇面議,10,20220926,9/26,0,0,,0,"
※具SVN/Git 或其他版控<em class='b-txt--highlight'>軟體</em>使用經驗
※對業界流通之資料庫使用熟悉
※須配合公司專案需求至客戶端駐點服務（大台北地區）

工作經驗： 
※1年以上PHP 開發經驗 
※具主導專案開發實務經驗佳
※具大型系統維護相關經驗佳

其他條件： 
※",['員工30人'],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/76afl?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/76afl?jobsource=jolist_c_relevance', 'cust': '//www.104.com.tw/company/1a2x6bkwho?jobsource=jolist_c_relevance'}",jolist_c_relevance,PHP 軟體工程師,奧米科技有限公司,121.4867114,25.0614534,0,[]
2,6334700,iPhone APP軟體工程師,iPhone APP<em class='b-txt--highlight'>軟體工程師</em>,1,1,6001002004,新北市汐止區,大同路二段171號9樓,手機APP開發。,大學,00,不拘,00000,0~5人應徵,23133690000,杭特電子股份有限公司,1001003003,消費性電子產品製造業,0035000,0060000,"月薪35,000~60,000元",50,20220926,9/26,1314816,0,,0,手機APP開發。,"['上市上櫃', '員工180人']",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/3rrvw?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/3rrvw?jobsource=jolist_c_relevance', 'cust': '//www.104.com.tw/company/aml79g0?jobsource=jolist_c_relevance'}",jolist_c_relevance,iPhone APP軟體工程師,杭特電子股份有限公司,121.6514,25.064127,0,"['電機電子工程相關', '資訊工程相關', '應用數學相關']"
0,12489692,軟體工程師,<em class='b-txt--highlight'>軟體工程師</em>,1,1,6001002004,新北市汐止區,新台五路一段75號10樓(221),PC作業系統平台(Windows、Linux、Android)之Ora地端服務、開發。,專科,04,3年,00001,0~5人應徵,89961466000,伍豐科技股份有限公司,1001003001,電腦及其週邊設備製造業,0000000,0000000,待遇面議,10,20220922,9/22,1048580,0,,0,PC作業系統平台(Windows、Linux、Android)之Ora地端服務、開發。,"['上市上櫃', '員工180人']",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7fp3w?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7fp3w?jobsource=jolist_c_relevance', 'cust': '//www.104.com.tw/company/15bsqff4?jobsource=jolist_c_relevance'}",jolist_c_relevance,軟體工程師,伍豐科技股份有限公司,121.645707,25.061104,0,[]
0,13011329,資深軟體工程師(可全遠距上班),資深<em class='b-txt--highlight'>軟體工程師</em>(可全遠距上班),1,1,6001002025,新北市五股區,五權六路39號,"公司內部系統開發設計
產品[[[軟體]]]系統開發設計
研究評估新技術與工具
優化[[[軟體]]]開發整合系統
撰寫技術文件：API、開發相關、新技術評估等
協助雲端機房 (Google Cloud Platform) 維運，排除問題
必要條件
1.下列語言之開發經驗:",專科,04,3年,00001,0~5人應徵,130000000044023,上洋產業股份有限公司,1002012005,專用生產機械製造修配業,0040000,9999999,"月薪40,000元以上",50,20220922,9/22,262144,0,,0,"公司內部系統開發設計
產品<em class='b-txt--highlight'>軟體</em>系統開發設計
研究評估新技術與工具
優化<em class='b-txt--highlight'>軟體</em>開發整合系統
撰寫技術文件：API、開發相關、新技術評估等
協助雲端機房 (Google Cloud Platform) 維運，排除問題
必要條件
1.下列語言之開發經驗:",['員工200人'],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7qvlt?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7qvlt?jobsource=jolist_c_relevance', 'cust': '//www.104.com.tw/company/1a2x6bix9z?jobsource=jolist_c_relevance'}",jolist_c_relevance,資深軟體工程師(可全遠距上班),上洋產業股份有限公司,121.4517583,25.0673072,0,"['資訊工程相關', '資訊管理相關']"
2,11731664,Backend軟體工程師 (智能服務事業群/林口園區),Backend<em class='b-txt--highlight'>軟體工程師</em> (智能服務事業群/林口園區),1,1,6001002023,新北市林口區,,"主要工作：
Backend開發為主，frontend為輔

需求條件：
1. Backend開發4年以上經驗
2. 熟悉client-server-cloud架構
3. 有Azure/AWS/阿里雲等雲端開發經驗佳
4. 熟悉下列開發語言及工具：
-Node.js
-TypeScript
-Express
-PostgreSQL
",大學,05,4年,00002,0~5人應徵,5155853000,Advantech_研華股份有限公司,1001001001,電腦系統整合服務業,0000000,0000000,待遇面議,10,20220925,9/25,5509120,0,,0,"主要工作：
Backend開發為主，frontend為輔

需求條件：
1. Backend開發4年以上經驗
2. 熟悉client-server-cloud架構
3. 有Azure/AWS/阿里雲等雲端開發經驗佳
4. 熟悉下列開發語言及工具：
-Node.js
-TypeScript
-Express
-PostgreSQL
","['上市上櫃', '員工8000人']",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/6zg7k?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/6zg7k?jobsource=jolist_c_relevance', 'cust': '//www.104.com.tw/company/2d9ntmw?jobsource=jolist_c_relevance'}",jolist_c_relevance,Backend軟體工程師 (智能服務事業群/林口園區),Advantech_研華股份有限公司,121.3881378,25.0790108,0,['資訊工程相關']
